lat;lon;x;y;z;val;dqc;
 59.5395;17.4963;140928;-382282;21;24.6;0;
 55.6571;12.0865;-184104;-814442;7.00006;19.1;0;
 59.1155;15.1539;8804;-432247;50;25.5;0;
 57.2192;17.0713;125279;-641822;9;21.9;5;
 58.3836;8.69006;-368366;-495769;40;16.1;0;
 59.2139;9.49972;-313315;-407885;35;16.4;0;
 59.8648;10.4926;-251782;-339960;NA;21.7;1;
 58.8687;9.51563;-315688;-446295;18.2327;18.1;0;
 59.3155;18.414;194018;-404821;26;20.7;0;
 61.9376;25.157;529194;-76260;110;16.7;5;
 60.9666;9.19106;-313246;-211992;360;23.6;0;
 62.4572;6.14066;-454108;-29026;NA;23.3;1;
 55.6546;12.5678;-153717;-815987;3;17.7;0;
 58.7316;5.63999;-539743;-435698;29;15.2;0;
 55.4927;12.177;-179198;-833104;7.57853;18.6;0;
 56.2637;10.307;-291436;-740046;48;20.5;0;
 55.8363;12.5131;-156386;-795514;35;18;0;
 59.1227;10.1993;-274302;-421212;NA;17.8;1;
 59.7821;5.38906;-536677;-317817;56;17.2;0;
 59.8489;17.5716;143799;-347683;38;21.1;0;
 58.5412;13.1335;-108613;-494703;78;23.2;0;
 62.4639;6.84872;-417924;-33089;71;24.5;0;
 62.4819;6.79785;-420263;-30772;48;25.4;0;
 63.4835;10.9387;-201491;60128;49;30.2;0;
 68.3294;14.0927;-37427;593767;14;15.9;0;
 63.3501;18.6581;182353;44118;66;18.3;0;
 59.9167;10.5812;-246444;-334538;56;21.5;0;
 59.9809;11.0505;-219866;-329106;138;19.6;0;
 55.8329;12.4283;-161731;-795685;NA;17.1;1;
 55.5978;13.039;-124142;-823366;10;17.6;0;
 59.4187;17.9339;166230;-394682;35;46.3;4;
 59.9214;10.6655;-241714;-334336;19;21.9;0;
 61.3369;12.176;-150634;-181646;726;21;0;
 55.7274;12.5021;-157551;-807677;26;18;0;
 60.3267;5.02026;-547736;-254775;74;17.9;0;
 69.9027;20.1111;196643;777357;0;9.9;5;
 57.8493;14.3121;-40860;-573255;250;20.9;0;
 62.1891;6.07358;-461650;-58078;NA;24.9;1;
 67.2917;14.6123;-16692;477731;27;19.1;0;
 59.9681;10.6488;-242292;-329085;287;18.4;0;
 59.844;18.2786;183330;-346430;41;23.4;0;
 55.3477;8.46675;-415785;-832153;6;21.4;0;
 55.4139;10.0068;-317426;-833541;49;21.8;0;
 56.1123;12.2142;-173832;-763866;24;17.3;0;
 59.789;10.2291;-267100;-347316;41;20.5;0;
 58.1309;7.97396;-413087;-519457;18;19.8;0;
 56.8372;16.1651;71251;-685889;64;18;0;
 59.8299;10.401;-257168;-343474;181;21;0;
 66.3164;14.205;-35570;369199;76;21.8;0;
 59.6553;9.63917;-301295;-359553;174;21.2;4;
 55.8485;12.5458;-154278;-794227;6;17.4;0;
 59.1479;11.2753;-212738;-422484;33.3529;20.2;0;
 59.8962;10.6228;-244283;-336974;NA;22;1;
 58.8399;5.70668;-534186;-424308;67;14.9;0;
 58.1749;6.65317;-489704;-505311;106;16.8;0;
 55.7592;12.1817;-177591;-803283;21;18.3;0;
 60.2022;25.0746;555062;-267652;1;21.6;0;
 59.9506;10.4752;-252081;-330362;288;19;0;
 55.8335;12.404;-163255;-795556;52;18.7;0;
